film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,language,category
471,Island Exorcist,A Fanciful Panorama of a Technical Writer And a Boy who must Find a Dentist in An Abandoned Fun House,2006,7,2.99,84,23.99,NC-17,English,Classics
760,Samurai Lion,A Fast-Paced Story of a Pioneer And a Astronaut who must Reach a Boat in A Baloon,2006,5,2.99,110,21.99,G,English,New
864,Sundance Invasion,A Epic Drama of a Lumberjack And a Explorer who must Confront a Hunter in A Baloon Factory,2006,5,0.99,92,21.99,NC-17,English,Children
233,Disciple Mother,A Touching Reflection of a Mad Scientist And a Boat who must Face a Moose in A Shark Tank,2006,3,0.99,141,17.99,PG,English,Travel
791,Show Lord,A Fanciful Saga of a Student And a Girl who must Find a Butler in Ancient Japan,2006,3,4.99,167,24.99,PG-13,English,Documentary
99,Bringing Hysterical,A Fateful Saga of a A Shark And a Technical Writer who must Find a Woman in A Jet Boat,2006,7,2.99,136,14.99,PG,English,Comedy
616,National Story,A Taut Epistle of a Mad Scientist And a Girl who must Escape a Monkey in California,2006,4,2.99,92,19.99,NC-17,English,Documentary
759,Salute Apollo,A Awe-Inspiring Character Study of a Boy And a Feminist who must Sink a Crocodile in Ancient China,2006,4,2.99,73,29.99,R,English,New
482,Jeopardy Encino,A Boring Panorama of a Man And a Mad Cow who must Face a Explorer in Ancient India,2006,3,0.99,102,12.99,R,English,Classics
216,Day Unfaithful,A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat,2006,3,4.99,113,16.99,G,English,New
64,Beethoven Exorcist,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,2006,6,0.99,151,26.99,PG-13,English,Drama
967,Weekend Personal,A Fast-Paced Documentary of a Car And a Butler who must Find a Frisbee in A Jet Boat,2006,5,2.99,134,26.99,R,English,Sci-Fi
928,Uptown Young,A Fateful Documentary of a Dog And a Hunter who must Pursue a Teacher in An Abandoned Amusement Park,2006,5,2.99,84,16.99,PG,English,Children
366,Goldfinger Sensibility,A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans,2006,3,0.99,93,29.99,G,English,Drama
34,Arabia Dogma,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,2006,6,0.99,62,29.99,NC-17,English,Horror
979,Witches Panic,A Awe-Inspiring Drama of a Secret Agent And a Hunter who must Fight a Moose in Nigeria,2006,6,4.99,100,10.99,NC-17,English,Drama
402,Harper Dying,A Awe-Inspiring Reflection of a Woman And a Cat who must Confront a Feminist in The Sahara Desert,2006,3,0.99,52,15.99,G,English,Animation
809,Slipper Fidelity,A Taut Reflection of a Secret Agent And a Man who must Redeem a Explorer in A MySQL Convention,2006,5,0.99,156,14.99,PG-13,English,Sports
413,Hedwig Alter,A Action-Packed Yarn of a Womanizer And a Lumberjack who must Chase a Sumo Wrestler in A Monastery,2006,7,2.99,169,16.99,NC-17,English,Comedy
281,Encino Elf,A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon,2006,6,0.99,143,9.99,G,English,Games
652,Pajama Jawbreaker,A Emotional Drama of a Boy And a Technical Writer who must Redeem a Sumo Wrestler in California,2006,3,0.99,126,14.99,R,English,Classics
502,Knock Warlock,A Unbelieveable Story of a Teacher And a Boat who must Confront a Moose in A Baloon,2006,4,2.99,71,21.99,PG-13,English,Comedy
964,Waterfront Deliverance,A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria,2006,4,4.99,61,17.99,G,English,Action
465,Interview Liaisons,A Action-Packed Reflection of a Student And a Butler who must Discover a Database Administrator in A Manhattan Penthouse,2006,4,4.99,59,17.99,R,English,New
325,Floats Garden,A Action-Packed Epistle of a Robot And a Car who must Chase a Boat in Ancient Japan,2006,6,2.99,145,29.99,PG-13,English,Animation
194,Crow Grease,A Awe-Inspiring Documentary of a Woman And a Husband who must Sink a Database Administrator in The First Manned Space Station,2006,6,0.99,104,22.99,PG,English,Action
98,Bright Encounters,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,4,4.99,73,12.99,PG-13,English,Drama
798,Silverado Goldfinger,A Stunning Epistle of a Sumo Wrestler And a Man who must Challenge a Waitress in Ancient India,2006,4,4.99,74,11.99,PG,English,Sci-Fi
978,Wisdom Worker,A Unbelieveable Saga of a Forensic Psychologist And a Student who must Face a Squirrel in The First Manned Space Station,2006,3,0.99,98,12.99,R,English,Comedy
596,Moonshine Cabin,A Thoughtful Display of a Astronaut And a Feminist who must Chase a Frisbee in A Jet Boat,2006,4,4.99,171,25.99,PG-13,English,Games
974,Wild Apollo,A Beautiful Story of a Monkey And a Sumo Wrestler who must Conquer a A Shark in A MySQL Convention,2006,4,0.99,181,24.99,R,English,New
636,Oleander Clue,A Boring Story of a Teacher And a Monkey who must Succumb a Forensic Psychologist in A Jet Boat,2006,5,0.99,161,12.99,PG,English,Music
526,Lock Rear,A Thoughtful Character Study of a Squirrel And a Technical Writer who must Outrace a Student in Ancient Japan,2006,7,2.99,120,10.99,R,English,Travel
170,Command Darling,A Awe-Inspiring Tale of a Forensic Psychologist And a Woman who must Challenge a Database Administrator in Ancient Japan,2006,5,4.99,120,28.99,PG-13,English,Foreign
724,Remember Diary,A Insightful Tale of a Technical Writer And a Waitress who must Conquer a Monkey in Ancient India,2006,5,2.99,110,15.99,R,English,Family
836,Squad Fish,A Fast-Paced Display of a Pastry Chef And a Dog who must Kill a Teacher in Berlin,2006,3,2.99,136,14.99,PG,English,Sports
104,Bugsy Song,A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station,2006,4,2.99,119,17.99,G,English,Foreign
588,Model Fish,A Beautiful Panorama of a Boat And a Crocodile who must Outrace a Dog in Australia,2006,4,4.99,175,11.99,NC-17,English,Children
108,Butch Panther,A Lacklusture Yarn of a Feminist And a Database Administrator who must Face a Hunter in New Orleans,2006,6,0.99,67,19.99,PG-13,English,New
185,Cowboy Doom,A Astounding Drama of a Boy And a Lumberjack who must Fight a Butler in A Baloon,2006,3,2.99,146,10.99,PG,English,Foreign
545,Madness Attacks,A Fanciful Tale of a Squirrel And a Boat who must Defeat a Crocodile in The Gulf of Mexico,2006,4,0.99,178,14.99,PG-13,English,Foreign
284,Enemy Odds,A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India,2006,5,4.99,77,23.99,NC-17,English,Music
14,Alice Fantasia,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,6,0.99,94,23.99,NC-17,English,Classics
32,Apocalypse Flamingos,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,2006,6,4.99,119,11.99,R,English,New
67,Berets Agent,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,2006,5,2.99,77,24.99,PG-13,English,Action
166,Color Philadelphia,A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert,2006,6,2.99,149,19.99,G,English,Classics
107,Bunch Minds,A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention,2006,4,2.99,63,13.99,G,English,Drama
663,Patient Sister,A Emotional Epistle of a Squirrel And a Robot who must Confront a Lumberjack in Soviet Georgia,2006,7,0.99,99,29.99,NC-17,English,Classics
904,Train Bunch,A Thrilling Character Study of a Robot And a Squirrel who must Face a Dog in Ancient India,2006,3,4.99,71,26.99,R,English,Horror
258,Drums Dynamite,A Epic Display of a Crocodile And a Crocodile who must Confront a Dog in An Abandoned Amusement Park,2006,6,0.99,96,11.99,PG,English,Horror
266,Dynamite Tarzan,A Intrepid Documentary of a Forensic Psychologist And a Mad Scientist who must Face a Explorer in A U-Boat,2006,4,0.99,141,27.99,PG-13,English,Classics
997,Youth Kick,A Touching Drama of a Teacher And a Cat who must Challenge a Technical Writer in A U-Boat,2006,4,0.99,179,14.99,NC-17,English,Music
777,Secretary Rouge,A Action-Packed Panorama of a Mad Cow And a Composer who must Discover a Robot in A Baloon Factory,2006,5,4.99,158,10.99,PG,English,Sports
517,Lesson Cleopatra,A Emotional Display of a Man And a Explorer who must Build a Boy in A Manhattan Penthouse,2006,3,0.99,167,28.99,NC-17,English,Sports
77,Birds Perdition,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,2006,5,4.99,61,15.99,G,English,New
333,Freaky Pocus,A Fast-Paced Documentary of a Pastry Chef And a Crocodile who must Chase a Squirrel in The Gulf of Mexico,2006,7,2.99,126,16.99,R,English,Music
324,Flintstones Happiness,A Fateful Story of a Husband And a Moose who must Vanquish a Boy in California,2006,3,4.99,148,11.99,PG-13,English,Comedy
877,Taxi Kick,A Amazing Epistle of a Girl And a Woman who must Outrace a Waitress in Soviet Georgia,2006,4,0.99,64,23.99,PG-13,English,Music
585,Mob Duffel,A Unbelieveable Documentary of a Frisbee And a Boat who must Meet a Boy in The Canadian Rockies,2006,4,0.99,105,25.99,G,English,Drama
476,Jason Trap,A Thoughtful Tale of a Woman And a A Shark who must Conquer a Dog in A Monastery,2006,5,2.99,130,9.99,NC-17,English,Family
200,Curtain Videotape,A Boring Reflection of a Dentist And a Mad Cow who must Chase a Secret Agent in A Shark Tank,2006,7,0.99,133,27.99,PG-13,English,Games
936,Vanishing Rocky,A Brilliant Reflection of a Man And a Woman who must Conquer a Pioneer in A MySQL Convention,2006,3,2.99,123,21.99,NC-17,English,Music
125,Cassidy Wyoming,A Intrepid Drama of a Frisbee And a Hunter who must Kill a Secret Agent in New Orleans,2006,5,2.99,61,19.99,NC-17,English,Travel
959,Warlock Werewolf,A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback,2006,6,2.99,83,10.99,G,English,Children
650,Pacific Amistad,A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse,2006,3,0.99,144,27.99,G,English,Documentary
647,Outfield Massacre,A Thoughtful Drama of a Husband And a Secret Agent who must Pursue a Database Administrator in Ancient India,2006,4,0.99,129,18.99,NC-17,English,Music
799,Simon North,A Thrilling Documentary of a Technical Writer And a A Shark who must Face a Pioneer in A Shark Tank,2006,3,0.99,51,26.99,NC-17,English,Horror
437,House Dynamite,A Taut Story of a Pioneer And a Squirrel who must Battle a Student in Soviet Georgia,2006,7,2.99,109,13.99,R,English,Family
773,Seabiscuit Punk,A Insightful Saga of a Man And a Forensic Psychologist who must Discover a Mad Cow in A MySQL Convention,2006,6,2.99,112,28.99,NC-17,English,Sports
659,Park Citizen,A Taut Epistle of a Sumo Wrestler And a Girl who must Face a Husband in Ancient Japan,2006,3,4.99,109,14.99,PG-13,English,Action
554,Malkovich Pet,A Intrepid Reflection of a Waitress And a A Shark who must Kill a Squirrel in The Outback,2006,6,2.99,159,22.99,G,English,Classics
524,Lion Uncut,A Intrepid Display of a Pastry Chef And a Cat who must Kill a A Shark in Ancient China,2006,6,0.99,50,13.99,PG,English,Comedy
560,Mars Roman,A Boring Drama of a Car And a Dog who must Succumb a Madman in Soviet Georgia,2006,6,0.99,62,21.99,NC-17,English,Games
320,Flamingos Connecticut,A Fast-Paced Reflection of a Composer And a Composer who must Meet a Cat in The Sahara Desert,2006,4,4.99,80,28.99,PG-13,English,New
407,Hawk Chill,A Action-Packed Drama of a Mad Scientist And a Composer who must Outgun a Car in Australia,2006,5,0.99,47,12.99,PG-13,English,Documentary
46,Autumn Crow,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,2006,3,4.99,108,13.99,G,English,Games
297,Extraordinary Conquerer,A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin,2006,6,2.99,122,29.99,G,English,Classics
852,Strangelove Desire,A Awe-Inspiring Panorama of a Lumberjack And a Waitress who must Defeat a Crocodile in An Abandoned Amusement Park,2006,4,0.99,103,27.99,NC-17,English,Children
179,Conquerer Nuts,A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft,2006,4,4.99,173,14.99,G,English,Drama
570,Mermaid Insects,A Lacklusture Drama of a Waitress And a Husband who must Fight a Husband in California,2006,5,4.99,104,20.99,NC-17,English,Sports
272,Edge Kissing,A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat,2006,5,4.99,153,9.99,NC-17,English,Drama
834,Spoilers Hellfighters,A Fanciful Story of a Technical Writer And a Squirrel who must Defeat a Dog in The Gulf of Mexico,2006,4,0.99,151,26.99,G,English,Documentary
389,Gunfighter Mussolini,A Touching Saga of a Robot And a Boy who must Kill a Man in Ancient Japan,2006,3,2.99,127,9.99,PG-13,English,Sports
416,Highball Potter,A Action-Packed Saga of a Husband And a Dog who must Redeem a Database Administrator in The Sahara Desert,2006,6,0.99,110,10.99,R,English,Foreign
314,Fight Jawbreaker,A Intrepid Panorama of a Womanizer And a Girl who must Escape a Girl in A Manhattan Penthouse,2006,3,0.99,91,13.99,R,English,Animation
885,Texas Watch,A Awe-Inspiring Yarn of a Student And a Teacher who must Fight a Teacher in An Abandoned Amusement Park,2006,7,0.99,179,22.99,NC-17,English,Horror
309,Feud Frogmen,A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies,2006,6,0.99,98,29.99,R,English,Family
579,Minds Truman,A Taut Yarn of a Mad Scientist And a Crocodile who must Outgun a Database Administrator in A Monastery,2006,3,4.99,149,22.99,PG-13,English,Action
522,Life Twisted,A Thrilling Reflection of a Teacher And a Composer who must Find a Man in The First Manned Space Station,2006,4,2.99,137,9.99,NC-17,English,Comedy
925,United Pilot,A Fast-Paced Reflection of a Cat And a Mad Cow who must Fight a Car in The Sahara Desert,2006,3,0.99,164,27.99,R,English,Documentary
987,Words Hunter,A Action-Packed Reflection of a Composer And a Mad Scientist who must Face a Pioneer in A MySQL Convention,2006,3,2.99,116,13.99,PG,English,Music
135,Chance Resurrection,A Astounding Story of a Forensic Psychologist And a Forensic Psychologist who must Overcome a Moose in Ancient China,2006,3,2.99,70,22.99,R,English,Sports
988,Worker Tarzan,A Action-Packed Yarn of a Secret Agent And a Technical Writer who must Battle a Sumo Wrestler in The First Manned Space Station,2006,7,2.99,139,26.99,R,English,Travel
566,Maude Mod,A Beautiful Documentary of a Forensic Psychologist And a Cat who must Reach a Astronaut in Nigeria,2006,6,0.99,72,20.99,R,English,Foreign
923,Unfaithful Kill,A Taut Documentary of a Waitress And a Mad Scientist who must Battle a Technical Writer in New Orleans,2006,7,2.99,78,12.99,R,English,Drama
