film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,name,category
550,Maguire Apache,A Fast-Paced Reflection of a Waitress And a Hunter who must Defeat a Forensic Psychologist in A Baloon,2006,6,2.99,74,22.99,NC-17,English,Family
879,Telegraph Voyage,A Fateful Yarn of a Husband And a Dog who must Battle a Waitress in A Jet Boat,2006,3,4.99,148,20.99,PG,English,Music
667,Peach Innocent,A Action-Packed Drama of a Monkey And a Dentist who must Chase a Butler in Berlin,2006,3,2.99,160,20.99,PG-13,English,Sports
354,Ghost Groundhog,A Brilliant Panorama of a Madman And a Composer who must Succumb a Car in Ancient India,2006,6,4.99,85,18.99,G,English,Children
940,Victory Academy,A Insightful Epistle of a Mad Scientist And a Explorer who must Challenge a Cat in The Sahara Desert,2006,6,0.99,64,19.99,PG-13,English,Sports
362,Glory Tracy,A Amazing Saga of a Woman And a Womanizer who must Discover a Cat in The First Manned Space Station,2006,7,2.99,115,13.99,PG-13,English,Games
746,Rouge Squad,A Awe-Inspiring Drama of a Astronaut And a Frisbee who must Conquer a Mad Scientist in Australia,2006,3,0.99,118,10.99,NC-17,English,Games
541,Luke Mummy,A Taut Character Study of a Boy And a Robot who must Redeem a Mad Scientist in Ancient India,2006,5,2.99,74,21.99,NC-17,English,Animation
540,Lucky Flying,A Lacklusture Character Study of a A Shark And a Man who must Find a Forensic Psychologist in A U-Boat,2006,7,2.99,97,10.99,PG-13,English,Music
624,Nightmare Chill,A Brilliant Display of a Robot And a Butler who must Fight a Waitress in An Abandoned Mine Shaft,2006,3,4.99,149,25.99,PG,English,Games
227,Details Packer,A Epic Saga of a Waitress And a Composer who must Face a Boat in A U-Boat,2006,4,4.99,88,17.99,R,English,Games
62,Bed Highball,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,2006,5,2.99,106,23.99,NC-17,English,Documentary
966,Wedding Apollo,A Action-Packed Tale of a Student And a Waitress who must Conquer a Lumberjack in An Abandoned Mine Shaft,2006,3,0.99,70,14.99,PG,English,Documentary
