film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,name,category
656,Papi Necklace,A Fanciful Display of a Car And a Monkey who must Escape a Squirrel in Ancient Japan,2006,3,0.99,128,9.99,PG,English,Travel
464,Intentions Empire,A Astounding Epistle of a Cat And a Cat who must Conquer a Mad Cow in A U-Boat,2006,3,2.99,107,13.99,PG-13,English,Animation
507,Ladybugs Armageddon,A Fateful Reflection of a Dog And a Mad Scientist who must Meet a Mad Scientist in New Orleans,2006,4,0.99,113,13.99,NC-17,English,Games
710,Rage Games,A Fast-Paced Saga of a Astronaut And a Secret Agent who must Escape a Hunter in An Abandoned Amusement Park,2006,4,4.99,120,18.99,R,English,Family
543,Madigan Dorado,A Astounding Character Study of a A Shark And a A Shark who must Discover a Crocodile in The Outback,2006,5,4.99,116,20.99,R,English,Travel
487,Jingle Sagebrush,A Epic Character Study of a Feminist And a Student who must Meet a Woman in A Baloon,2006,6,4.99,124,29.99,PG-13,English,Classics
60,Beast Hunchback,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,2006,3,4.99,89,22.99,R,English,Classics
559,Married Go,A Fanciful Story of a Womanizer And a Dog who must Face a Forensic Psychologist in The Sahara Desert,2006,7,2.99,114,22.99,G,English,Sci-Fi
131,Center Dinosaur,A Beautiful Character Study of a Sumo Wrestler And a Dentist who must Find a Dog in California,2006,5,4.99,152,12.99,PG,English,Classics
81,Blindness Gun,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,2006,6,4.99,103,29.99,PG-13,English,Sci-Fi
68,Betrayed Rear,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,2006,5,4.99,122,26.99,NC-17,English,Children
241,Donnie Alley,A Awe-Inspiring Tale of a Butler And a Frisbee who must Vanquish a Teacher in Ancient Japan,2006,4,0.99,125,20.99,NC-17,English,Animation
458,Indian Love,A Insightful Saga of a Mad Scientist And a Mad Scientist who must Kill a Astronaut in An Abandoned Fun House,2006,4,0.99,135,26.99,NC-17,English,Family
888,Thin Sagebrush,A Emotional Drama of a Husband And a Lumberjack who must Build a Cat in Ancient India,2006,5,4.99,53,9.99,PG-13,English,Documentary
411,Heavenly Gun,A Beautiful Yarn of a Forensic Psychologist And a Frisbee who must Battle a Moose in A Jet Boat,2006,5,4.99,49,13.99,NC-17,English,Music
204,Dalmations Sweden,A Emotional Epistle of a Moose And a Hunter who must Overcome a Robot in A Manhattan Penthouse,2006,4,0.99,106,25.99,PG,English,Drama
122,Carrie Bunch,A Amazing Epistle of a Student And a Astronaut who must Discover a Frisbee in The Canadian Rockies,2006,7,0.99,114,11.99,PG,English,Horror
100,Brooklyn Desert,A Beautiful Drama of a Dentist And a Composer who must Battle a Sumo Wrestler in The First Manned Space Station,2006,7,4.99,161,21.99,R,English,Foreign
412,Heavyweights Beast,A Unbelieveable Story of a Composer And a Dog who must Overcome a Womanizer in An Abandoned Amusement Park,2006,6,4.99,102,25.99,G,English,Documentary
514,Lebowski Soldiers,A Beautiful Epistle of a Secret Agent And a Pioneer who must Chase a Astronaut in Ancient China,2006,6,2.99,69,17.99,PG-13,English,Drama
279,Elizabeth Shane,A Lacklusture Display of a Womanizer And a Dog who must Face a Sumo Wrestler in Ancient Japan,2006,7,4.99,152,11.99,NC-17,English,Sports
694,Prejudice Oleander,A Epic Saga of a Boy And a Dentist who must Outrace a Madman in A U-Boat,2006,6,4.99,98,15.99,PG-13,English,Classics
189,Creatures Shakespeare,A Emotional Drama of a Womanizer And a Squirrel who must Vanquish a Crocodile in Ancient India,2006,3,0.99,139,23.99,NC-17,English,Games
783,Shane Darkness,A Action-Packed Saga of a Moose And a Lumberjack who must Find a Woman in Berlin,2006,5,2.99,93,22.99,PG,English,Travel
248,Dozen Lion,A Taut Drama of a Cat And a Girl who must Defeat a Frisbee in The Canadian Rockies,2006,6,4.99,177,20.99,NC-17,English,Documentary
