film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,rating,name,category
956,Wanda Chamber,A Insightful Drama of a A Shark And a Pioneer who must Find a Womanizer in The Outback,2006,7,4.99,107,23.99,PG-13,English,Games
707,Quest Mussolini,A Fateful Drama of a Husband And a Sumo Wrestler who must Battle a Pastry Chef in A Baloon Factory,2006,5,2.99,177,29.99,R,English,Action
52,Ballroom Mockingbird,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,2006,6,0.99,173,29.99,G,English,Foreign
837,Stage World,A Lacklusture Panorama of a Woman And a Frisbee who must Chase a Crocodile in A Jet Boat,2006,4,2.99,85,19.99,PG,English,Comedy
576,Mighty Luck,A Astounding Epistle of a Mad Scientist And a Pioneer who must Escape a Database Administrator in A MySQL Convention,2006,7,2.99,122,13.99,PG,English,Documentary
22,Amistad Midsummer,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006,6,2.99,85,10.99,G,English,New
871,Sweden Shining,A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies,2006,6,4.99,176,19.99,PG,English,Comedy
221,Deliverance Mulholland,A Astounding Saga of a Monkey And a Moose who must Conquer a Butler in A Shark Tank,2006,4,0.99,100,9.99,R,English,Documentary
45,Attraction Newton,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,2006,5,4.99,83,14.99,PG-13,English,New
283,Ending Crowds,A Unbelieveable Display of a Dentist And a Madman who must Vanquish a Squirrel in Berlin,2006,6,0.99,85,10.99,NC-17,English,New
291,Evolution Alter,A Fanciful Character Study of a Feminist And a Madman who must Find a Explorer in A Baloon Factory,2006,5,0.99,174,10.99,PG-13,English,Sports
761,Santa Paris,A Emotional Documentary of a Moose And a Car who must Redeem a Mad Cow in A Baloon Factory,2006,7,2.99,154,23.99,PG,English,Children
424,Holocaust Highball,A Awe-Inspiring Yarn of a Composer And a Man who must Find a Robot in Soviet Georgia,2006,6,0.99,149,12.99,R,English,Children
565,Matrix Snowman,A Action-Packed Saga of a Womanizer And a Woman who must Overcome a Student in California,2006,6,4.99,56,9.99,PG-13,English,Foreign
202,Daddy Pittsburgh,A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico,2006,5,4.99,161,26.99,G,English,Comedy
158,Clones Pinocchio,A Amazing Drama of a Car And a Robot who must Pursue a Dentist in New Orleans,2006,6,2.99,124,16.99,R,English,Music
901,Tracy Cider,A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria,2006,3,0.99,142,29.99,G,English,Animation
811,Smile Earring,A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin,2006,4,2.99,60,29.99,G,English,Travel
